DateTime,Unnamed: 0,SoilMoisture_0.05m,SoilMoisture_0.1m,SoilMoisture_0.2m,SoilMoisture_0.3m,GWETPROF,PRECTOTCORR,T2M,Water_Absorbed_By_Wheat
2022-10-24,5769,0.1577916666666666,0.2434166666666666,0.1813910892815624,0.2735416666666667,0.41,0.09,19.38,0.0
2022-10-25,5770,0.1539166666666666,0.2405416666666666,0.1808678079710144,0.2713333333333333,0.41,0.02,18.41,0.0
2022-10-26,5771,0.1518333333333333,0.2387916666666666,0.1796438443069135,0.2705,0.41,0.08,19.02,0.0
2022-10-27,5772,0.1500416666666666,0.2368333333333333,0.1786068626482213,0.2702083333333333,0.41,0.02,19.58,0.0
2022-10-28,5773,0.1482083333333333,0.2349166666666666,0.1812979787784678,0.2692916666666666,0.41,0.02,20.4,0.0
2022-10-29,5774,0.1452916666666666,0.23175,0.1814740253623188,0.267625,0.41,0.02,19.05,0.0
2022-10-30,5775,0.1422916666666666,0.2287916666666667,0.1801037318840579,0.2655416666666667,0.41,0.04,17.91,0.0
2022-10-31,5776,0.1399583333333333,0.2262916666666666,0.1812749818840579,0.2639166666666667,0.41,1.87,19.26,0.0
2022-11-01,5777,0.1947916666666666,0.2989166666666666,0.1829789130434782,0.2674583333333333,0.41,0.7,16.51,0.0
2022-11-02,5778,0.192375,0.286,0.1910054347826086,0.27475,0.41,0.02,16.26,0.0
2022-11-03,5779,0.1911666666666666,0.27975,0.1973787121212121,0.2750416666666667,0.41,4.43,15.17,0.0
2022-11-04,5780,0.2144583333333333,0.2910833333333333,0.1992909057971014,0.2736666666666666,0.42,8.11,11.0,0.0
2022-11-05,5781,0.2367345221920289,0.2659601932367149,0.2110872463768115,0.217690670289855,0.43,0.01,9.34,0.0
2022-11-06,5782,0.2085,0.2890416666666666,0.2142108152173913,0.2714166666666667,0.42,0.03,12.18,0.0
2022-11-07,5783,0.20375,0.2845,0.2119460144927535,0.2712083333333333,0.42,0.01,13.79,0.0
2022-11-08,5784,0.2008333333333333,0.2813333333333333,0.2150490942028985,0.2726666666666666,0.42,0.16,15.4,0.0
2022-11-09,5785,0.2042083333333333,0.2792083333333333,0.2170498188405797,0.2738333333333334,0.42,4.2,13.49,0.0
2022-11-10,5786,0.2138333333333333,0.2815416666666666,0.2199733152173912,0.2734583333333333,0.43,0.07,11.54,0.0
2022-11-11,5787,0.2085833333333333,0.2814583333333333,0.229811186061381,0.2723333333333333,0.43,0.07,14.51,0.0
2022-11-12,5788,0.205,0.279375,0.2291920289855072,0.273,0.43,0.03,16.11,0.0
2022-11-13,5789,0.1994583333333333,0.2764583333333333,0.2326773007246376,0.2717083333333334,0.43,0.12,13.8,0.0
2022-11-14,5790,0.1964583333333333,0.27425,0.2316158333333333,0.2710833333333333,0.43,3.51,13.46,0.0
2022-11-15,5791,0.1982916666666666,0.2722916666666666,0.2321699601449275,0.2714166666666667,0.43,5.16,14.33,0.0
2022-11-16,5792,0.2219166666666666,0.2832083333333333,0.2296618115942029,0.2712083333333333,0.44,0.48,13.65,0.0
2022-11-17,5793,0.2262499999999999,0.2944166666666666,0.2290355579710144,0.273875,0.44,5.57,13.88,0.0
2022-11-18,5794,0.2353333333333333,0.315625,0.2289467793880837,0.321375,0.45,10.38,9.95,0.0
